,DDQN_Base_Model
87,"{'reward': 0.21365448555776667, 'makespan': 1.1317734377586073, 'energy': 3.7574579854574113, 'cost': 52.54316300619601, 'latency': 4.405, 'utilization': 0.5086326012392003, 'throughput': 0.10297954728450083}"
88,"{'reward': 0.208642052478171, 'makespan': 2000.7472133148333, 'energy': 3.7186122329128857, 'cost': 52.51027811930284, 'latency': 4.375, 'utilization': 0.502055623860569, 'throughput': 0.10431875142401456}"
89,"{'reward': 0.2055952747619691, 'makespan': 0.6681312266967003, 'energy': 3.6790531247143923, 'cost': 52.489061732541515, 'latency': 4.405, 'utilization': 0.497812346508302, 'throughput': 0.10341056071551424}"
90,"{'reward': 0.20644773981466127, 'makespan': 0.8772577151900834, 'energy': 3.698242049097396, 'cost': 52.49860231022662, 'latency': 4.47, 'utilization': 0.4997204620453271, 'throughput': 0.10204395020184492}"
91,"{'reward': 0.2076578009784097, 'makespan': 4000.8450078040787, 'energy': 3.730469406341154, 'cost': 52.51155040648223, 'latency': 4.515, 'utilization': 0.5023100812964474, 'throughput': 0.10051731601731598}"
92,"{'reward': 0.20525922029763463, 'makespan': 2000.8025231912748, 'energy': 3.6784534052668856, 'cost': 52.488169337975336, 'latency': 4.435, 'utilization': 0.4976338675950649, 'throughput': 0.10237582592845747}"
93,"{'reward': 0.20840326021193067, 'makespan': 0.6598649228233705, 'energy': 3.7224502410175306, 'cost': 52.51397422737663, 'latency': 4.515, 'utilization': 0.5027948454753224, 'throughput': 0.10079743699712736}"
94,"{'reward': 0.2091107725297181, 'makespan': 2000.9466438770582, 'energy': 3.730230481805045, 'cost': 52.51324860068128, 'latency': 4.33, 'utilization': 0.5026497201362544, 'throughput': 0.10447119134735228}"
95,"{'reward': 0.21690990526797851, 'makespan': 2000.7862410203784, 'energy': 3.8169387793792264, 'cost': 52.57093224044818, 'latency': 4.445, 'utilization': 0.5141864480896365, 'throughput': 0.10186477557530185}"
96,"{'reward': 0.21211356067883214, 'makespan': 4000.6428926782164, 'energy': 3.7491636378344197, 'cost': 52.53349414257728, 'latency': 4.39, 'utilization': 0.5066988285154581, 'throughput': 0.10300502593381847}"
97,"{'reward': 0.20833857907670153, 'makespan': 4001.091842612834, 'energy': 3.7335529596206047, 'cost': 52.51415372221105, 'latency': 4.47, 'utilization': 0.5028307444422079, 'throughput': 0.10136361179240434}"
98,"{'reward': 0.2149920829698545, 'makespan': 0.7247813978916416, 'energy': 3.775961372074073, 'cost': 52.55443864938265, 'latency': 4.45, 'utilization': 0.5108877298765256, 'throughput': 0.10166311053927148}"
99,"{'reward': 0.2196325314196187, 'makespan': 4000.615595196596, 'energy': 3.809788095508979, 'cost': 52.584893978047674, 'latency': 4.49, 'utilization': 0.5169787956095373, 'throughput': 0.10096096301359454}"
100,"{'reward': 0.21231513835189733, 'makespan': 2000.78402690616, 'energy': 3.7596554063326146, 'cost': 52.54009061062793, 'latency': 4.515, 'utilization': 0.5080181221255835, 'throughput': 0.10036458794043933}"
101,"{'reward': 0.20737911380827678, 'makespan': 2000.958138653014, 'energy': 3.721463256033329, 'cost': 52.50907215139344, 'latency': 4.53, 'utilization': 0.5018144302786889, 'throughput': 0.09988345864661648}"
102,"{'reward': 0.20349954697156572, 'makespan': 4000.6231228756114, 'energy': 3.68238635460217, 'cost': 52.48189084702938, 'latency': 4.5, 'utilization': 0.49637816940587826, 'throughput': 0.10053144224196851}"
103,"{'reward': 0.20266450726375537, 'makespan': 0.6510577815030445, 'energy': 3.69265000199169, 'cost': 52.47650278255539, 'latency': 4.405, 'utilization': 0.49530055651107685, 'throughput': 0.1027445887445887}"
104,"{'reward': 0.2008822350018335, 'makespan': 2.125192198532429, 'energy': 3.6744207064765613, 'cost': 52.46636496273667, 'latency': 4.47, 'utilization': 0.4932729925473335, 'throughput': 0.1016218844794696}"
105,"{'reward': 0.22215613810689455, 'makespan': 2001.6015746001833, 'energy': 3.8376321973496808, 'cost': 52.60132677813896, 'latency': 4.455, 'utilization': 0.5202653556277916, 'throughput': 0.10196088878441817}"
106,"{'reward': 0.21357368944054744, 'makespan': 6001.016710461091, 'energy': 3.761241898485872, 'cost': 52.54278451647383, 'latency': 4.385, 'utilization': 0.5085569032947675, 'throughput': 0.10310655426444897}"
107,"{'reward': 0.20525156262385166, 'makespan': 0.7963172052443231, 'energy': 3.689689293276552, 'cost': 52.49094149956109, 'latency': 4.465, 'utilization': 0.49818829991221797, 'throughput': 0.10144653299916455}"
108,"{'reward': 0.20754768157126077, 'makespan': 2000.6812628605371, 'energy': 3.7331071671426934, 'cost': 52.5093088697791, 'latency': 4.445, 'utilization': 0.5018617739558198, 'throughput': 0.10206277056277052}"
109,"{'reward': 0.20690759993118416, 'makespan': 2000.802138868137, 'energy': 3.694102692412819, 'cost': 52.4938468712262, 'latency': 4.26, 'utilization': 0.49876937424523815, 'throughput': 0.10631064016822529}"
110,"{'reward': 0.21444805543211667, 'makespan': 4000.6921741056653, 'energy': 3.772582909665746, 'cost': 52.55050174970636, 'latency': 4.43, 'utilization': 0.5101003499412704, 'throughput': 0.10237226980106233}"
111,"{'reward': 0.20991340580106482, 'makespan': 2000.8091024396404, 'energy': 3.7394171671094862, 'cost': 52.52267137340423, 'latency': 4.455, 'utilization': 0.5045342746808482, 'throughput': 0.10240612895876051}"
112,"{'reward': 0.21257378762054985, 'makespan': 6000.727414038316, 'energy': 3.7677455984132844, 'cost': 52.542920815844965, 'latency': 4.52, 'utilization': 0.5085841631689959, 'throughput': 0.10051010101010097}"
113,"{'reward': 0.20823571227153628, 'makespan': 2000.6345400453201, 'energy': 3.7395871208440155, 'cost': 52.51206662111943, 'latency': 4.385, 'utilization': 0.5024133242238887, 'throughput': 0.1035699609987535}"
114,"{'reward': 0.20653479844214442, 'makespan': 2000.6255621524565, 'energy': 3.7154236856295113, 'cost': 52.50118644730314, 'latency': 4.445, 'utilization': 0.5002372894606287, 'throughput': 0.10240618033497288}"
115,"{'reward': 0.21271932065684204, 'makespan': 4000.658914660868, 'energy': 3.7742152301497356, 'cost': 52.54231853998629, 'latency': 4.44, 'utilization': 0.5084637079972556, 'throughput': 0.10248345685961781}"
116,"{'reward': 0.21534658177395866, 'makespan': 2000.6710801885802, 'energy': 3.8138947450687883, 'cost': 52.564470164781966, 'latency': 4.51, 'utilization': 0.5128940329563924, 'throughput': 0.10036340852130321}"
117,"{'reward': 0.21393239664239208, 'makespan': 4006.6993004874403, 'energy': 3.788267937955833, 'cost': 52.548713237995216, 'latency': 4.37, 'utilization': 0.5097426475990475, 'throughput': 0.10354261991878086}"
118,"{'reward': 0.21010422868954115, 'makespan': 2001.2091899178156, 'energy': 3.742863704484021, 'cost': 52.52650214850715, 'latency': 4.53, 'utilization': 0.5053004297014301, 'throughput': 0.09989563704269583}"
119,"{'reward': 0.2063727253062355, 'makespan': 2000.6797925330166, 'energy': 3.6976847573945513, 'cost': 52.49645507527029, 'latency': 4.415, 'utilization': 0.4992910150540538, 'throughput': 0.10331953890622618}"
120,"{'reward': 0.21254675127203573, 'makespan': 2000.6652941915743, 'energy': 3.7511091730464563, 'cost': 52.53936440033674, 'latency': 4.5, 'utilization': 0.5078728800673479, 'throughput': 0.10079247360826306}"
121,"{'reward': 0.21710117197252402, 'makespan': 2001.562941593663, 'energy': 3.8064423762676416, 'cost': 52.572105168154, 'latency': 4.51, 'utilization': 0.514421033630798, 'throughput': 0.100406850459482}"
122,"{'reward': 0.21457256481150247, 'makespan': 4000.6990467678766, 'energy': 3.7758144326534007, 'cost': 52.55183100997208, 'latency': 4.435, 'utilization': 0.5103662019944203, 'throughput': 0.10181529581529578}"
123,"{'reward': 0.2072718972915068, 'makespan': 4007.804681119104, 'energy': 3.6983403940364594, 'cost': 52.50370912683894, 'latency': 4.5, 'utilization': 0.5007418253677876, 'throughput': 0.10102669552669549}"
124,"{'reward': 0.2206606956487086, 'makespan': 2000.7819184678222, 'energy': 3.8607157797369904, 'cost': 52.597798719172154, 'latency': 4.46, 'utilization': 0.5195597438344304, 'throughput': 0.10158073213336367}"
125,"{'reward': 0.20944983905493392, 'makespan': 6000.6771702121605, 'energy': 3.7182752958715453, 'cost': 52.513555588785465, 'latency': 4.35, 'utilization': 0.50271111775709, 'throughput': 0.10401499962026275}"
126,"{'reward': 0.21458264482766773, 'makespan': 2001.2114701178996, 'energy': 3.7696898419211906, 'cost': 52.55054308241886, 'latency': 4.425, 'utilization': 0.510108616483772, 'throughput': 0.10252535527767723}"
127,"{'reward': 0.21050729388562517, 'makespan': 4000.731521864559, 'energy': 3.748588159457826, 'cost': 52.52966467555743, 'latency': 4.535, 'utilization': 0.5059329351114824, 'throughput': 0.09993135691278104}"
128,"{'reward': 0.20560971913778942, 'makespan': 8000.493743793131, 'energy': 3.7046697504067483, 'cost': 52.491334382142576, 'latency': 4.335, 'utilization': 0.4982668764285123, 'throughput': 0.10493058403584715}"
129,"{'reward': 0.2094749713243572, 'makespan': 2000.6437154188366, 'energy': 3.735519482444159, 'cost': 52.52313592174648, 'latency': 4.565, 'utilization': 0.504627184349287, 'throughput': 0.0991809202149759}"
130,"{'reward': 0.2145392680269578, 'makespan': 2000.811933264723, 'energy': 3.7900498938310943, 'cost': 52.55224271677963, 'latency': 4.375, 'utilization': 0.510448543355924, 'throughput': 0.10482766407998602}"
